DOID:6808	Basaloid follicular hamartoma	 	 	C4749	6469
DOID:5572	Beckwith-Wiedemann syndrome	 	D001506	C34415	1028, 10984, 174, 283120, 5325, 64324
DOID:13241	Behcet's disease	136.1	D001528	C34416	104, 10563, 1234, 1543, 1636, 2023, 2147, 2153, 26191, 2944, 2950, 2952, 3106, 3383, 3458, 350, 3552, 3553, 3558, 3565, 3576, 3593, 3605, 3606, 3659, 3673, 3821, 3824, 3952, 3959, 407, 4153, 4210, 4276, 4313, 4318, 6295, 6366, 6387, 6402, 64127, 6556, 6648, 7099, 7124, 7294, 7450, 8858, 9370
DOID:2608	benign breast phyllodes tumor	 	D003557	C2977	1956, 2100, 3091, 3815, 768
DOID:4844	benign ependymoma	 	D004806	C3017	10215, 1029, 1499, 1956, 2035, 2064, 29103, 324, 4221, 4524, 4771, 595, 6623
DOID:14777	benign familial neonatal epilepsy	 	D020936	 	170848, 3785, 3786, 6326
DOID:4587	benign meningioma	 	D008579	C4055	1471, 1476, 1508, 4288, 4771
DOID:2645	benign mesothelioma	 	D008654	C3234	10232, 11186, 11197, 1207, 1499, 2057, 2247, 330, 331, 3845, 4582, 5443, 6424, 7472, 768, 836, 8797, 8837
DOID:1455	benign migratory glossitis	529.1	D005929	C84588	3553, 3569, 4318
DOID:14264	benign neonatal seizures	 	D020936	C84593	3785, 6326
DOID:2217	Bernard-Soulier syndrome	 	D001606	C84595	2192
DOID:10322	berylliosis	 	D001607	 	5133
DOID:12241	beta thalassemia	 	D017086	C34375	1118, 287, 3119, 3479, 3569, 3576, 3676, 3688, 3811, 3934, 6521, 6708, 7166
DOID:6741	bilateral breast cancer	 	 	C8287	1080, 11200, 1499, 1589, 2022, 27011, 2706, 284654, 3199, 3360, 3815, 3973, 4128, 4537, 472, 4771, 5071, 5925, 6311, 64699, 65018, 6531, 6657, 668, 672, 675, 7466, 7490, 79776, 80198, 9289
DOID:4897	bile duct carcinoma	 	D001650	C27814	3217, 338, 348, 3949, 444, 6344
DOID:4138	bile duct disease	 	D001649	 	9076
DOID:12237	bile reflux	 	D001655	 	4585
DOID:13608	biliary atresia	751.61	D001656	C34421	1490, 3383, 4316, 4599, 55997, 6696, 7076, 929
DOID:4607	biliary tract cancer	 	D001661	C2898	4436
DOID:8092	biliary tract cancer	 	D001661	C2898	3217, 3845, 4255, 444, 4585, 4586, 885
DOID:2740	bilirubin metabolic disorder	 	D006932	 	10599
DOID:2741	bilirubin metabolic disorder	 	D006932	 	10599
DOID:856	biotinidase deficiency	 	D028921	C84598	686
DOID:5492	biphasic synovial sarcoma	 	 	C4279	1999
DOID:3312	bipolar disorder	296.8	D001714	C34423	104, 10611, 11113, 1129, 1139, 115, 116, 1393, 1493, 157, 1610, 1644, 1848, 2099, 2195, 22809, 22854, 239, 2571, 262, 2643, 267012, 2670, 27185, 27201, 2774, 282706, 291, 319100, 3309, 3337, 3351, 3356, 3358, 3485, 3553, 3612, 3613, 3628, 4128, 4161, 4524, 4552, 4684, 468, 4729, 5015, 5074, 5116, 56147, 57142, 5992, 5999, 627, 6285, 6347, 63826, 6482, 6530, 6531, 6532, 6570, 6571, 7166, 7184, 7226, 7257, 7494, 815, 8863, 8864, 8867, 9145, 9152, 9248, 9341, 9575, 9722
DOID:3711	bladder adenocarcinoma	 	 	C4032	285782, 857
DOID:4007	bladder carcinoma	 	 	C4912	1027, 11200, 1942, 1969, 2146, 2167, 2261, 2263, 2950, 2956, 3482, 3728, 4311, 4437, 5329, 581, 6242, 7348, 79444, 838, 8837, 9581
DOID:365	bladder disease	596.9	D001745	C2900	2255
DOID:3742	bladder squamous cell carcinoma	 	 	C4031	4193
DOID:4006	bladder transitional cell carcinoma	 	 	C39851	1029, 11045, 2064, 2099, 301, 356, 4103
DOID:2141	bladder transitional cell papilloma	 	 	C3842	1029
DOID:10348	blepharophimosis	374.46	D016569	 	668
DOID:12305	Bloch-Sulzberger syndrome	 	D007184	C84787	6356
DOID:1247	blood coagulation disease	286	D001778	C2902	11093, 2147, 2152, 2153, 2155, 22371, 2243, 2266, 302, 3818, 5054, 5327, 5328, 5340, 5345, 5781, 7450
DOID:2717	bloom syndrome	 	D001816	C2903	11200, 472, 641
DOID:3348	bone cancer	 	D001859	C9343	2692
DOID:1290	bone disease	 	D001847	 	1116, 1186, 1435, 3091, 3576, 3605, 4041, 4094, 4312, 54, 632, 6387, 6696
DOID:2356	bone marrow cancer	 	D009196	 	11083, 2033, 2057, 2260, 23856, 2623, 3563, 3717, 3718, 4602, 57126, 5781, 613, 9241
DOID:4961	bone marrow disease	 	D001855	C34433	1524, 3107, 4318, 56896
DOID:3376	bone osteosarcoma	 	 	C53707	10210, 1026, 1027, 1029, 1030, 1111, 1490, 1634, 1647, 1947, 1956, 2064, 2066, 207, 2099, 2100, 2224, 22410, 2247, 2263, 2950, 308, 3091, 328, 3479, 3482, 355, 3576, 3615, 3621, 3676, 3688, 3690, 3725, 3815, 4060, 4233, 4267, 4276, 4288, 4318, 4524, 4543, 472, 4771, 5745, 5747, 581, 5829, 5923, 5925, 596, 59, 6277, 632, 6387, 6416, 65059, 650, 6573, 6696, 7341, 7422, 7430, 7480, 79444, 815, 836, 841, 857, 860, 8856, 9184, 928, 9401, 9961
DOID:10930	borderline personality disorder	301.83	D001883	 	4128, 6532
DOID:3689	brachial plexus neuritis	 	D020968	C84600	10801, 287606, 297383, 305227, 5414, 6242, 7077, 8877
DOID:1319	brain cancer	239.6	D001932	C2907	10401, 10, 11095, 1641, 187, 1956, 2250, 2734, 317, 3481, 351, 358, 366, 3791, 379, 3897, 412, 4137, 4145, 4172, 4255, 4318, 4323, 43, 4436, 4613, 4684, 472, 4735, 5879, 5880, 5881, 5925, 6387, 847, 8842, 8862, 9833
DOID:2125	brain cancer	239.6	D001932	C2907	10389, 11093, 1869, 3485
DOID:2126	brain cancer	239.6	D001932	C2907	10381, 1605, 207, 4524
DOID:911	brain cancer	239.6	D001932	C2907	2064, 2944, 2950, 2952, 3181, 324, 3265, 56666, 6513
DOID:8510	brain disease	 	D001927	 	1967, 2023, 22854, 2731, 4204, 4729, 5009, 56652, 6323
DOID:936	brain disease	 	D001927	 	6285, 6683
DOID:3454	brain infarction	 	D020520	 	1401, 187, 21947, 3569, 4353, 9370
DOID:2316	brain ischemia	 	D002545	 	185, 2056, 3776, 4192, 596
DOID:14702	branchiootorenal syndrome	 	D019280	 	2138, 6495
DOID:3458	breast adenocarcinoma	 	 	C5214	3814, 5054, 5329, 5925
DOID:1648	breast cancer	 	D001943	C9335	2064
DOID:4241	breast cancer	 	D001943	C9335	10000, 10006, 10011, 100133941, 10013, 10018, 10044, 10045, 10049, 10111, 10142, 10163, 10188, 10215, 1025, 1026, 1027, 10280, 10286, 1028, 1029, 102, 10376, 10395, 10397, 10400, 10451, 10454, 10457, 10474, 10481, 10498, 10499, 1050, 10512, 10514, 1051, 1052, 10551, 10631, 1063, 10642, 10643, 10647, 10653, 10659, 10664, 10718, 10723, 10761, 10765, 1081, 1082, 1084, 10855, 10861, 10891, 10894, 10962, 10987, 10, 11012, 11059, 11156, 1116, 11186, 1119, 11200, 11201, 11214, 112360, 1124, 11279, 11337, 11489, 1163, 11651, 11752, 12023, 1234, 12393, 12484, 12505, 12562, 125, 126, 133, 136, 140, 142, 1432, 1445, 1457, 1462, 1471, 1474, 1475, 1485, 1490, 1493, 1499, 1500, 1508, 1509, 1513, 1514, 1543, 1544, 1545, 1555, 1588, 1594, 16011, 1601, 1604, 16150, 1636, 1643, 1645, 1646, 1647, 16818, 16842, 17246, 17386, 177, 17978, 17979, 18033, 182, 1839, 1843, 185, 1869, 186, 18754, 18761, 1906, 1909, 1910, 1936, 1938, 1950, 1956, 1958, 19696, 1969, 196, 1977, 1978, 1994, 2017, 2022, 203068, 2033, 20371, 20377, 2056, 2057, 2064, 2065, 2066, 2068, 2069, 2072, 20779, 207, 20848, 2088, 208, 20963, 2099, 2100, 2101, 2113, 2114, 2115, 2118, 2119, 2120, 2146, 214, 2150, 2152, 2155, 2157, 2159, 2175, 2177, 21803, 2191, 2192, 2194, 22059, 2212, 2247, 2249, 2260, 2261, 2263, 2264, 2272, 2274, 2277, 22822, 2305, 238, 239, 240, 24329, 24404, 24451, 246, 247, 255313, 2568, 2583, 25855, 25875, 25907, 25920, 25937, 26018, 2625, 26353, 26409, 26416, 26524, 2661, 2674, 2688, 2690, 2691, 26959, 2697, 26994, 2706, 27086, 27250, 27257, 27316, 27330, 27401, 27436, 274, 2767, 2768, 28234, 29028, 29108, 29122, 29126, 29127, 292, 2944, 2950, 2952, 2956, 29780, 29948, 301, 302, 303477, 3091, 3106, 3117, 317716, 31, 3202, 3240, 324, 3265, 3276, 3280, 328, 3291, 3292, 3294, 3297, 331, 332, 3371, 3373, 3381, 3383, 3397, 3458, 347252, 3479, 3480, 3481, 3482, 3483, 3484, 3485, 3486, 3488, 348, 3490, 3491, 3508, 354, 3551, 3552, 3554, 3559, 355, 3565, 3569, 356, 3576, 3586, 3589, 3590, 3620, 3625, 3630, 3641, 3643, 3655, 3659, 3667, 3673, 367, 3685, 3688, 3690, 3691, 3717, 3725, 374, 3815, 3817, 382, 3838, 3852, 3856, 3872, 3875, 387, 3880, 3899, 3909, 3932, 3934, 3952, 3953, 3958, 3965, 3973, 3984, 4015, 4035, 4049, 4057, 405, 406952, 406989, 4072, 4087, 4089, 412, 4150, 4153, 4179, 4192, 4193, 4194, 4214, 4232, 4233, 4246, 4250, 4267, 4282, 4288, 4292, 4301, 4306, 4311, 4312, 4313, 4314, 4316, 4317, 4318, 4320, 4322, 4323, 4353, 4361, 4363, 442219, 442448, 4436, 4485, 4486, 4507, 4524, 4552, 4582, 4609, 463, 4680, 4683, 472, 4733, 4738, 4752, 4760, 4773, 4776, 482, 491, 5002, 5036, 5037, 5045, 5054, 5058, 5062, 50689, 5071, 5093, 5104, 5111, 5155, 5294, 5295, 5300, 5315, 5328, 5329, 5330, 5333, 5337, 5371, 5395, 5420, 5423, 54, 56484, 56547, 56647, 56892, 56940, 56946, 56994, 57016, 573, 5743, 57447, 5744, 5745, 5747, 5753, 5764, 5770, 57805, 5783, 5787, 578, 5795, 5803, 580, 581, 58480, 5873, 5879, 5881, 5884, 5887, 5888, 5893, 5914, 5915, 5925, 5926, 59277, 5931, 5932, 5933, 5934, 59351, 5935, 595, 5966, 596, 5970, 5979, 597, 598, 5997, 6041, 6048, 604, 60500, 6093, 6130, 618, 6198, 6236, 6237, 6240, 6275, 6278, 63035, 6319, 6331, 6348, 6351, 6366, 637, 6382, 6387, 638, 63923, 63967, 63978, 6401, 64127, 6416, 6422, 6425, 6446, 6456, 6462, 6464, 6470, 64754, 6486, 648, 6493, 6494, 6495, 6502, 650, 6513, 6515, 6528, 652, 653145, 653, 6548, 654, 655, 6566, 6591, 659, 66004, 66029, 6605, 6609, 660, 6615, 6623, 6624, 6647, 6648, 6657, 6662, 6667, 6678, 6696, 672, 675, 682, 685, 688, 706, 7071, 7073, 7076, 7077, 7078, 7079, 7087, 7124, 7161, 7163, 7168, 7184, 7227, 7249, 7277, 7291, 7298, 7320, 7337, 7422, 7424, 7428, 7430, 7431, 7432, 7448, 7450, 7471, 7472, 7483, 7490, 7494, 7498, 7515, 7516, 7517, 7518, 768, 79004, 79139, 79444, 79602, 79679, 79728, 79791, 80704, 80725, 80760, 820, 822, 824, 835, 836, 841, 842, 847, 856674, 857, 860, 863, 864, 8795, 8797, 8829, 8835, 8837, 8838, 8839, 8840, 8864, 8877, 8878, 890, 8912, 8915, 891, 8932, 894, 896, 8976, 898, 8994, 8995, 9021, 9055, 9075, 9076, 9077, 9093, 909, 9111, 9112, 9113, 9134, 9170, 920, 9212, 9261, 9282, 9353, 9368, 9370, 9415, 9429, 9446, 9500, 9542, 9564, 9588, 9610, 9611, 9612, 9622, 9641, 9687, 9705, 9759, 9821, 9839, 9846, 9874, 9915, 9922, 9928, 9947, 9961, 9990, 9
DOID:3459	breast carcinoma	 	 	C4872	1026, 1027, 10371, 10551, 10553, 10647, 10863, 10, 11073, 11095, 11156, 1191, 1410, 1436, 1474, 1499, 1543, 1544, 1588, 1604, 1869, 1874, 1890, 1906, 1909, 1910, 1956, 1958, 1981, 199974, 2022, 2052, 2064, 207, 2099, 2100, 2113, 2149, 2263, 2272, 2277, 246, 25855, 25920, 26085, 2625, 2688, 2689, 2692, 27330, 2950, 3091, 3198, 3202, 3297, 3313, 332, 3479, 3485, 3486, 3488, 3624, 3685, 3690, 3728, 3760, 3814, 3815, 3838, 389, 4193, 4250, 4276, 4292, 4312, 4313, 4318, 4436, 4486, 4582, 4609, 4691, 472, 4751, 5304, 5337, 5347, 5361, 540, 5745, 57646, 57708, 581, 5879, 5881, 5931, 595, 596, 6009, 634, 6360, 6382, 6385, 6387, 6502, 6623, 6624, 6648, 6667, 672, 675, 7184, 7424, 7428, 768, 836, 857, 8829, 8835, 8862, 891, 9075, 9112, 9429, 9510, 9518, 9703, 9839
DOID:8791	breast carcinoma in situ	233	 	C3641	11186, 324, 3562, 5915, 894
DOID:10350	breast cyst	 	D047688	C5315	3479, 3486
DOID:3463	breast disease	611.9	D001941	C26709	186, 1956, 2099, 2100, 4436, 5111, 596, 79874
DOID:2693	breast fibroadenoma	 	 	C3744	2064, 2099, 2100, 2697, 3624, 4609, 596, 6009, 6528
DOID:10354	breast fibrocystic disease	610.1	D005348	C3039	3292
DOID:1176	bronchial disease	 	D001982	 	3576, 6280
DOID:3906	bronchial neoplasm	 	D001984	 	3845
DOID:9563	bronchiectasis	494	D001987	C84475	3458, 3577, 4317, 6338, 6340, 7097
DOID:2942	bronchiolitis	 	D001988	C39658	1178, 1493, 3383, 3429, 627, 6347, 6348, 6352
DOID:2799	bronchiolitis obliterans	 	D001989	C62580	3458, 3569, 3576, 3605, 4317, 4318, 64127, 653509, 7076
DOID:4926	bronchiolo-alveolar adenocarcinoma	 	D002282	C2923	1956, 3845, 4582
DOID:9983	bronchitis	490	D001991	C2911	1232, 6356, 6435, 6441
DOID:3904	bronchogenic carcinoma	 	D002283	C35875	1054, 213
DOID:11651	bronchopulmonary dysplasia	 	D001997	 	1636, 2150, 2252, 3371, 3553, 3557, 3586, 4313, 4318, 7076, 7077
DOID:14457	Brucella abortus brucellosis	23.1	D002007	 	3569, 7097
DOID:14456	Brucella melitensis brucellosis	23	 	 	4276
DOID:11077	brucellosis	23.9	D002006	C84602	1234, 2212, 3458, 3557, 3565, 3569, 3586, 4210, 6402, 6556, 7099
DOID:14179	Bruton-type agammaglobulinemia	 	C537409	C3822	3569, 695
DOID:12129	bulimia nervosa	 	D002032	C34440	3356, 3358, 4160, 627, 6532, 7166, 9370, 9575
DOID:11031	bullous keratopathy	371.23	 	C26970	6649
DOID:8506	bullous pemphigoid	694.5	D010391	C84389	2214, 3383, 3655, 3688, 3690, 3691, 4282, 6401, 6402, 667
DOID:8584	Burkitt's lymphoma	200.2	D002051	C7400	10018, 10673, 11201, 170770, 207, 2272, 27113, 27434, 3455, 3586, 3783761, 3783763, 4609, 4773, 5176209, 55872, 57379, 581, 5934, 604, 931
DOID:4331	burning mouth syndrome	 	D002054	C62545	3558, 3569, 7097, 7442, 929
DOID:162	cancer	239.4	 	 	10000, 100126794, 10014, 10017, 10049, 100, 10180, 10181, 10196, 10215, 1025, 1026, 1027, 1028, 1029, 102, 10371, 10383, 10395, 10397, 1039, 10400, 104266, 1043, 10452, 1045, 1051, 10550, 10551, 10555, 10562, 10563, 10566, 10579, 10587, 10611, 10628, 10630, 10631, 10642, 10652, 10653, 10657, 10664, 10673, 1071, 10728, 1072, 10761, 10763, 107895, 10801, 10808, 1080, 1081, 1082, 108314, 10840, 10855, 10894, 10899, 109689, 10988, 11006, 11012, 11013, 11054, 11065, 11082, 11095, 1111, 1112, 1113, 11140, 11156, 1116, 11170, 11171, 11186, 11197, 11200, 11213, 112360, 11236, 11450, 1147, 1163, 1191, 121021, 1231, 12387, 12443, 12448, 12525, 12539, 12550, 133, 1387, 1392, 1398, 1401, 140, 1410, 14182, 14198, 14235, 14254, 14257, 14283, 142, 1432, 1435, 1462, 1464, 1474, 1475, 1476, 1485, 1493, 1499, 1500, 1508, 1510, 1513, 1514, 1523, 1525, 1540, 1544, 155871, 1601, 1604, 1605, 1612, 16171, 16183, 16193, 1633, 1634, 1641, 1645, 1646, 1647, 1655, 16590, 16852, 16885, 16973, 17086, 17319, 17381, 17395, 174, 17684, 177, 17869, 18015, 18128, 18212, 182, 183, 1848, 18505, 18507, 185, 18654, 1869, 186, 1870, 1871, 18780, 18792, 18793, 1890, 1893, 1894, 1906, 1907, 19084, 1910, 1948, 1950, 1956, 1958, 19645, 1969, 19713, 1974, 1977, 1978, 1981, 1982, 1994, 199, 201254, 20218, 2022, 2026, 2034, 20377, 2041, 2045, 2050, 2052, 2053, 2056, 2057, 2064, 2065, 2066, 2069, 20754, 2078, 207, 20848, 208, 2099, 2100, 2113, 2130, 2146, 2147, 2149, 214, 2150, 2152, 2170, 2173, 217716, 21802, 21803, 21841, 218, 21917, 21933, 21943, 2194, 219699, 22059, 22084, 2214, 22163, 221895, 22339, 22415, 2246, 2247, 2249, 2252, 2253, 2254, 2260, 2261, 2263, 2264, 2271, 2272, 2277, 22803, 22822, 2289, 2290, 2305, 2308, 237625, 23849, 238, 239, 240, 24251, 24337, 246778, 246, 25855, 25890, 25907, 259197, 2591, 25929, 25932, 2597, 259, 25, 26038, 26085, 26135, 2621, 2625, 2626, 26416, 26419, 26468, 2650, 26579, 26585, 2668, 2691, 2692, 2693, 2697, 27030, 27035, 27043, 2706, 27074, 27086, 27087, 27113, 27121, 27122, 27232, 27316, 2735, 2740, 27430, 274, 2752, 282991, 283358, 284086, 284340, 284, 28514, 285782, 285, 28996, 29071, 29108, 29126, 29128, 2950, 2952, 2956, 29780, 298570, 29946, 30060, 302, 30800, 3091, 30927, 3099, 317, 3181, 3184, 3198, 3204, 3205, 3215, 3224, 3249, 324, 3265, 326, 328, 3291, 3303, 3304, 3308, 330, 3312, 3313, 3315, 331, 3320, 332, 3329, 3339, 3371, 3375, 3383, 338, 3397, 339883, 3398, 339, 3400, 340719, 3417, 3439, 3458, 3479, 3480, 3481, 3482, 3485, 3486, 348, 3490, 3491, 351, 3549, 354, 3551, 3552, 3553, 3558, 3559, 355, 3560, 3561, 3562, 3563, 3565, 3569, 356, 3572, 3576, 3586, 358, 3598, 3600, 3601, 3604, 3605, 3606, 3611, 3620, 3621, 3622, 3623, 3640, 3651, 3655, 3667, 3674, 3675, 367, 3682, 3683, 3685, 3688, 3690, 3691, 3695, 3708, 3717, 3718, 3725, 3728, 3732, 3736, 3737, 3742, 374, 3756, 3757, 377677, 3778, 3783751, 378708, 3791, 379, 3802, 3812, 3814, 3815, 3832, 383, 3845, 3852, 3853, 3855, 387103, 387, 3880, 388, 3897, 389, 3911, 3912, 3918, 3921, 3925, 3927, 3952, 3953, 3956, 3958, 3959, 3973, 3976, 3981, 3984, 4015, 4017, 4023, 403832, 4041, 4049, 4060, 4068, 406952, 4072, 4085, 4086, 4087, 4088, 4089, 408, 4162, 4170, 4171, 4172, 4175, 4176, 4179, 4193, 4194, 4214, 4221, 4233, 4241, 4249, 4254, 4255, 4261, 4267, 4276, 4277, 4282, 4288, 4292, 429, 4306, 4311, 4312, 4313, 4314, 4316, 4318, 4320, 4321, 4322, 4323, 4325, 4327, 4345, 4350, 4361, 4363, 43, 440603, 4436, 444, 4484, 4486, 4489, 4507, 4508, 4512, 4513, 4524, 4543, 4549, 4582, 4583, 4584, 4585, 4586, 4588, 4595, 4605, 4609, 4610, 4613, 4628, 462, 4646, 4671, 4680, 4683, 4684, 472, 474890, 4760, 4763, 4771, 48, 5002, 5020, 5045, 5054, 50577, 5058, 5062, 5077, 5079, 5080, 5081, 5111, 5122, 5126, 5133, 5134, 5154, 5155, 5294, 5300, 5315, 5320, 5324, 5325, 5328, 5329, 5335, 5340, 5347, 5361, 5364, 5371, 5378, 5395, 54250, 545, 54698, 54725, 54, 55840, 558, 56253, 56307, 56376, 56616, 56744, 56896, 56924, 56998, 57007, 57016, 57124, 57142, 57154, 57379, 573, 5743, 57447, 5747, 57531, 57586, 575, 57646, 57761, 5781, 5783, 5789, 5795, 5796, 580, 5818, 581, 5829, 58497, 5879, 5881, 5891, 5894, 5898, 5899, 5909, 5914, 5915, 5916, 5923, 5925, 5927, 5928, 59301, 5934, 595, 596, 5970, 5978, 5979, 598, 5998, 602, 6046, 604, 60665, 60672, 6091, 6098, 60, 6134, 613, 6240, 6256, 6275, 6279, 6282, 6284, 6317, 6318, 6319, 6344, 6347, 634, 6362, 6363, 6364, 6372, 6374, 6382, 6387, 6389, 6390, 6391, 63923, 6392, 639, 6400, 6401, 6403, 6405, 64112, 64127, 64135, 6416, 6422, 6423, 6424, 6426, 64344, 64353, 6435, 6436, 64399, 6464, 64693, 6469, 64764, 6477, 6480, 648, 6493, 6497, 6498, 6502, 6504, 650, 6513, 6515, 6517, 65268, 6528, 652, 6530, 653220, 655, 6571, 6591, 6595, 6597, 6598, 6599, 659, 6608, 660, 6615, 6623, 6624, 6647, 6648, 6662, 6663, 6667, 6670, 6671, 6678, 6690, 6693, 6696, 6699, 672, 673, 675, 682507, 682, 685, 688, 701, 706, 7070, 7072, 7074, 7076, 7077, 7078, 7080, 7082, 708, 7099, 7100, 7112, 7113, 7114, 7124, 7161, 7178, 7203, 7204, 7225, 7248, 7249, 7253, 7258, 7270, 7277, 728461, 728931, 7291, 7293, 7296, 7298, 7341, 7345, 7348, 7422, 7423, 7424, 7425, 7428, 7430, 7443, 7450, 7468, 7471, 7472, 7473, 7474, 7476, 7486, 7490, 7494, 7514, 759, 760, 768, 79145, 79187, 79443, 79444, 794, 79577, 79659, 79679, 796, 79874, 79885, 79968, 800, 80254, 80351, 80381, 820, 83430, 834, 836, 838, 841, 842, 843, 846, 857, 859, 860, 864, 871, 8796, 8811, 8829, 8837, 8838, 8839, 8840, 8841, 8856, 8870, 8877, 887, 889201, 890, 891, 8929, 8930, 8945, 894, 896, 898, 9002, 9021, 9043, 9049, 9070, 9076, 9098, 909, 9112, 9113, 9146, 9149, 9154, 9166, 9212, 921, 9232, 9255, 925, 9271, 9289, 9308, 930, 9313, 9318, 9353, 9368, 9370, 9403, 941, 9429, 9437, 943, 9448, 9451, 9459, 947, 9518, 9531, 9547, 9590, 9612, 9622, 9636, 9656, 9705, 9730, 9891, 9913, 9961, 9971, 9982, 9
